                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3928,                 1.9282,                 1.5619,                0.78589,                0.67668,                0.77647,                0.48764,                 1.2609,                 1.2555,                 1.4603,               0.066709,             3.3324e-05,             3.3324e-05
                      1,                 1.1881,                0.93312,                 1.3767,                0.88539,                0.79657,                0.90513,                0.59306,                 1.2155,                0.81743,                 1.4034,               0.033406,             6.3358e-05,             6.3358e-05
                      2,                 1.0992,                0.69868,                 1.2956,                  0.921,                0.83937,                0.93734,                0.62841,                 1.1944,                0.69278,                 1.3802,             9.9359e-05,             9.0092e-05,             9.0092e-05
                      3,                 1.0475,                0.59532,                 1.2536,                0.92614,                0.87688,                0.95428,                0.64246,                 1.1951,                0.64027,                 1.3866,              8.515e-05,              8.515e-05,              8.515e-05
                      4,                  1.002,                 0.5368,                 1.2169,                0.93622,                0.88027,                0.95909,                0.64403,                 1.2051,                0.61149,                 1.3864,              8.515e-05,              8.515e-05,              8.515e-05
                      5,                0.97729,                0.50438,                 1.1873,                0.94032,                0.88493,                0.96191,                 0.6477,                 1.2028,                0.60513,                 1.3999,               8.02e-05,               8.02e-05,               8.02e-05
                      6,                0.95077,                0.47575,                 1.1745,                0.92764,                0.89468,                0.96261,                0.64255,                 1.2229,                0.59898,                 1.4059,              7.525e-05,              7.525e-05,              7.525e-05
                      7,                0.93526,                 0.4597,                  1.151,                0.93674,                 0.8807,                 0.9578,                0.63392,                 1.2469,                0.62149,                 1.4297,               7.03e-05,               7.03e-05,               7.03e-05
                      8,                0.91808,                0.44571,                 1.1467,                0.93318,                0.88218,                0.95841,                0.63947,                 1.2439,                 0.6204,                 1.4275,              6.535e-05,              6.535e-05,              6.535e-05
                      9,                0.90949,                0.43136,                 1.1387,                0.92362,                 0.8826,                 0.9541,                0.63673,                 1.2416,                0.63286,                 1.4342,               6.04e-05,               6.04e-05,               6.04e-05
                     10,                 0.8998,                0.42397,                  1.129,                  0.926,                0.87773,                0.95556,                 0.6414,                 1.2447,                0.63294,                 1.4141,              5.545e-05,              5.545e-05,              5.545e-05
                     11,                0.88947,                  0.413,                 1.1216,                0.92494,                0.88526,                0.95874,                0.63762,                 1.2634,                0.62545,                 1.4503,               5.05e-05,               5.05e-05,               5.05e-05
                     12,                0.88096,                0.41041,                 1.1222,                0.93085,                0.88324,                0.95875,                0.63645,                 1.2654,                 0.6271,                 1.4526,              4.555e-05,              4.555e-05,              4.555e-05
                     13,                0.87799,                0.40337,                  1.118,                0.92531,                0.87942,                0.95541,                 0.6308,                 1.2832,                 0.6403,                 1.4795,               4.06e-05,               4.06e-05,               4.06e-05
                     14,                0.87113,                0.40054,                 1.1132,                  0.928,                0.87406,                0.95728,                0.63277,                  1.283,                0.63661,                 1.4776,              3.565e-05,              3.565e-05,              3.565e-05
                     15,                0.86172,                0.39768,                 1.1056,                0.92673,                 0.8738,                0.95615,                0.63158,                 1.2844,                0.64383,                 1.4715,               3.07e-05,               3.07e-05,               3.07e-05
                     16,                0.85703,                0.38886,                 1.1033,                0.92489,                0.87675,                0.95653,                0.63185,                 1.2891,                0.63143,                 1.4708,              2.575e-05,              2.575e-05,              2.575e-05
                     17,                0.85867,                0.38868,                  1.095,                0.92035,                0.89125,                0.96084,                0.63417,                 1.2905,                0.61487,                 1.4645,               2.08e-05,               2.08e-05,               2.08e-05
                     18,                 0.8503,                 0.3814,                 1.0893,                 0.9283,                0.87921,                0.95902,                0.63367,                 1.2902,                0.62116,                 1.4645,              1.585e-05,              1.585e-05,              1.585e-05
                     19,                0.85004,                0.38236,                 1.0875,                0.92631,                0.88173,                0.95832,                0.63392,                 1.2919,                0.62613,                  1.461,               1.09e-05,               1.09e-05,               1.09e-05
